Title;Salary;Company;Location;Date
Machine learning специалист;;ТОО Kazdream Technologies;Нур-Султан;10 ноября
Java-разработчик (Middle);;ТОО Gexabyte;Алматы, Абая и еще 1 ;16 ноября
Технический специалист (IT);100 000-250 000 KZT; Sulpak;Алматы;19 ноября
Специалист IT отдела;;ТОО Eurasia Metals Company;Алматы;26 ноября
Помощник маркетолога;от 200 000 KZT;ИП Крылов Ю.Е.;Алматы;6 ноября
Руководитель проектов;; CTI;Алматы;20 ноября
Программист-разработчик;500 000-700 000 KZT;ТОО OPEN SYSTEMS DEVELOPMENT;Нур-Султан;19 ноября
Системный администратор IT;;ТОО Orkendeu Batys;Актобе;29 октября
Product-аналитик;; Kolesa Group;Алматы;23 ноября
DevOps engineer;;ТОО УМНЫЕ ГОРОДА;Алматы;25 ноября
Старший менеджер интернет-магазина;120 000-300 000 KZT;ТОО VENDER;Алматы;11 ноября
Software engineer;; Kaspi Bank, АО;Алматы;20 ноября
Техник-электрик;до 120 000 KZT;ТОО ATB Development (ЭйТиБи Депелопмент);Атырау;24 ноября
Специалист по обслуживанию физических лиц;;АО Казахтелеком;Алматы;8 ноября
Product manager (Образовательная платформа);;ТОО DAR INTELI;Алматы, Москва;10 ноября
Java Developer (Senior/Middle);;ТОО Prime Source;Алматы, Абая;28 октября
Python-разработчик (Junior\ Middle);;ТОО WOOPPAY;Караганда;28 октября
Project Assistant (Junior);;АО TECHNODOM Operator (Технодом Оператор);Алматы;4 ноября
Бизнес-аналитик / IT аналитик;от 300 000 KZT;ТОО Bultech;Нур-Султан;13 ноября
Системный/Бизнес-аналитик;; Beeline, ТМ;Алматы;25 ноября
IT-инженер;от 200 000 KZT;ТОО Синтегра;Караганда;24 ноября
Бизнес - аналитик;; Colvir Software Solutions;Алматы;25 ноября
QA Engineer / Testing specialist / Тестировщик;400 000-600 000 KZT;ТОО «Страховая компания «Amanat»;Алматы;10 ноября
Vue разработчик (Frontend);350 000-700 000 KZT;ТОО G1 Software Kazakhstan;Нур-Султан;13 ноября
Главный специалист Департамент инфраструктуры открытых ключей;250 000-300 000 KZT;АО Национальные информационные технологии;Нур-Султан;23 ноября
Технический директор;;ТОО ПАЦИФИКА;Алматы, Алатау;24 ноября
Программист С# / ASP.NET;от 300 000 KZT; Халык-Life, АО;Алматы;19 ноября
Эксперт Направления совершенствования бизнес-процессов;;АО Банк ЦентрКредит;Алматы;25 ноября
Глава цифровой трансформации (Алматы / инвестиционная группа);2 500 000-5 000 000 KZT;ТОО TOP Personal;Алматы;16 ноября
Специалист по ремонту компьютерной техники;от 150 000 KZT;ТОО ТЕХНОМАРТ;Нур-Султан;29 октября
Начальник отдела информационных технологий;от 300 000 KZT;ТОО Микрофинансовая организация TEZ FINANCE;Алматы;19 ноября
Менеджер по продажам;;ИП HR Solutions (ТМ Белый Ветер KZ);Павлодар;23 ноября
Монтажник слаботочных систем;от 200 000 KZT;ТОО Звук.Свет.Инсталляция;Нур-Султан;26 ноября
Интернет-маркетолог в электроэнергетическую компанию;;ТОО Consult Energy;Нур-Султан;19 ноября
Менеджер по продажам в Веб студию;350 000-600 000 KZT;ИП ITQ;Алматы, Жибек Жолы;25 ноября
Инженер (Support);;АО Банк Хоум Кредит, ДБ АО;Алматы;23 ноября
Back End разработчик;;ТОО Первое Кредитное бюро;Алматы;4 ноября
Руководитель отдела по работе с клиентами;30 000-55 000 руб.;ИП Сёмина Наталья Викторовна;Нур-Султан;23 ноября
Специалист отдела информации и технологии;150 000-160 000 KZT;ТОО Аргос;Шымкент;24 ноября
Frontend-разработчик;от 250 000 KZT;ТОО «Научно-Исследовательская Лаборатория «Гамма Технологии»;Алматы, Абая;24 ноября
Главный специалист отдела информационных технологий;;ТОО Шыгысэнерготрейд;Усть-Каменогорск;26 ноября
Разработчик Hadoop;;АО ДБ Альфа-Банк;Алматы;26 ноября
Консультант службы технической поддержки;;ТОО Esepshi.kz;Нур-Султан;25 ноября
Эксперт по направлению «Управление телекоммуникационной сетью»;от 309 500 KZT;АО Транстелеком;Нур-Султан;29 октября
Главный менеджер Управления поддержки процессинга;;АО Altyn Bank;Алматы;23 ноября
PHP developer;2 000-2 500 EUR; Tophunt;Алматы, Абая и еще 2 ;23 ноября
Специалист по продажам (удаленно);; Beeline, ТМ;Шымкент;18 ноября
Системный администратор;от 120 000 KZT;ТОО First sale;Алматы;2 ноября
Back - end разработчик;;АО ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ НАРОДНОГО БАНКА КАЗАХСТАНА HALYK FINSERVICE;Алматы;26 ноября
Маркетолог;250 000-400 000 KZT;ИП Центр Развития Предпринимателей;Нур-Султан;12 ноября
